,ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
20608,tt0470913,The Journey,2004,107 min,6.8,326,"Drama, Romance            ",malayalam
20621,tt0355640,Karma,1995,148 min,4.6,22,Action            ,malayalam
20624,tt0254574,Minnal Padayali,1959,-,-,-,-,malayalam
20634,tt0354151,Vaisakha Rathiri,1991,-,-,-,-,malayalam
20643,tt0319653,Karumadikkuttan,2001,141 min,5.6,121,Drama            ,malayalam
20661,tt6772954,Benyamin,2017,36 min,-,-,Short            ,malayalam
20693,tt0307628,Vembanad,1990,91 min,-,-,Drama            ,malayalam
20694,tt0271459,Dhruvam,1993,138 min,8.1,"1,394","Action, Drama, Thriller            ",malayalam
20703,tt0318699,Snehapoorvam Meera,1982,-,-,-,-,malayalam
20710,tt11363336,Missed Call,II 2013,-,-,-,Short            ,malayalam
20726,tt8269376,Perinoral,2018,-,-,-,Drama            ,malayalam
20730,tt0240717,Mazhakaaru,1974,110 min,-,-,-,malayalam
20760,tt0353308,City Police,I 1993,-,4.5,11,-,malayalam
20768,tt10334554,At Once,2019,-,-,-,Romance            ,malayalam
20788,tt8671138,Theetta Rappai,2018,122 min,5.0,22,Drama            ,malayalam
20790,tt0332660,Ishta Praaneshwari,1979,-,-,-,-,malayalam
20824,tt2779840,916,2012,125 min,4.5,47,"Drama, Family            ",malayalam
20839,tt13210386,Shyamaragam,2020,148 min,-,-,"Drama, Musical            ",malayalam
20868,tt3923674,Once Again: Orikkal Kudi,2012,51 min,-,-,Thriller            ,malayalam
20878,tt3708828,God for Sale,2013,134 min,4.7,34,"Comedy, Drama            ",malayalam
20892,tt0275206,Avasanathe Rathri,1990,-,-,-,-,malayalam
20895,tt0292123,Moonnam Mura,1988,-,7.4,339,"Action, Adventure, Thriller            ",malayalam
20917,tt0345173,Eettappuli,1983,161 min,-,-,-,malayalam
20919,tt0315740,Aadharsham,1982,-,-,-,-,malayalam
20926,tt0357132,Sandra,2002,-,-,-,-,malayalam
20945,tt5933698,Aedan: Garden of Desire,2018,130 min,6.0,14,"Drama, Fantasy, Mystery            ",malayalam
20955,tt5589748,As an Artist,2014,37 min,-,-,"Documentary, Short, Biography            ",malayalam
20957,tt0353921,Puthiya Karukkal,1989,100 min,4.9,10,"Crime, Thriller            ",malayalam
20961,tt1359433,Orkkuka Vallappozhum,2009,-,7.1,12,Drama            ,malayalam
20964,tt0271349,Abkari,1988,-,5.5,25,"Action, Drama            ",malayalam
20970,tt8678866,Gathi,2018,-,-,-,"Short, Drama            ",malayalam
20976,tt1822235,Ithu Nammude Katha,2011,-,4.1,53,Drama            ,malayalam
21005,tt0344915,Belt Mathai,1983,-,-,-,"Action, Drama            ",malayalam
21024,tt0275574,Oru Kudakeezhil,1985,-,5.0,5,-,malayalam
21037,tt6059074,Jomonte Suvisheshangal,2017,156 min,6.7,"2,763","Comedy, Drama            ",malayalam
21043,tt0187374,Oonjal,1977,119 min,4.1,7,-,malayalam
21053,tt8112012,WOUND,2014,-,-,-,Drama            ,malayalam
21064,tt0119132,Flammen im Paradies,1997,105 min,6.1,66,Drama            ,malayalam
21067,tt0352913,Theekattu,1987,-,-,-,-,malayalam
21071,tt0332721,Orikkal Koodi,1981,-,-,-,Drama            ,malayalam
21076,tt5032818,Kanal,2015,156 min,4.7,368,"Action, Crime, Drama            ",malayalam
21077,tt0278615,Paadatha Veenayum Paadum,1990,-,-,-,-,malayalam
21085,tt0268693,Tiger Salim,1978,-,-,-,-,malayalam
21097,tt6723812,Sooryaputhran,1998,-,6.1,53,Comedy            ,malayalam
21098,-,Till the Last Breath,,14 min,-,-,"Short, Family            ",malayalam
21103,tt11442504,Happy Together,III 2019,13 min,-,-,"Short, Drama            ",malayalam
21104,tt0351835,Theerumanam,1984,-,-,-,-,malayalam
21113,tt3506970,1983,2014,138 min,7.7,"2,278","Drama, Sport            ",malayalam
21128,tt1138482,Twenty:20,2008,195 min,6.8,"1,663","Action, Crime, Drama            ",malayalam
21133,tt0282785,Neelakurukkan,1992,-,4.7,17,-,malayalam
21136,tt0254483,Karutha Kai,1964,-,6.7,6,-,malayalam
21139,tt1132141,The Campus,2005,-,8.1,203,"Crime, Drama, Romance            ",malayalam
21144,tt5578856,Chennai Koottam,2016,107 min,4.1,7,Comedy            ,malayalam
21146,tt0481135,Masnagudi Mannadiyar Speaking,2004,-,3.8,5,-,malayalam
21150,tt14188256,For Amose,2020,22 min,-,-,Short            ,malayalam
21159,tt1869233,Three Kings,2011,123 min,4.0,187,Comedy            ,malayalam
21161,tt4568252,Ivan Maryadaraman,2015,-,3.5,277,Comedy            ,malayalam
21163,tt0277252,Preathangalude Thazhvaram,1973,-,-,-,-,malayalam
21169,tt0155610,Chatta,1981,-,7.0,15,-,malayalam
21173,tt0352648,Njanum Neeyum,1987,-,-,-,-,malayalam
21195,tt0271626,Malarum Kiliyum,1986,-,7.1,7,-,malayalam
21198,tt5933582,Padmini,2018,79 min,-,-,"Biography, Drama, Family            ",malayalam
21202,tt0254755,Sarppakavu,1965,126 min,-,-,-,malayalam
21209,tt0353202,Asthikal Pookunnu,1989,-,-,-,-,malayalam
21211,tt0355481,The Gift of God,2002,-,-,-,-,malayalam
21212,tt0282116,Rathriyile Yathrakkar,1976,-,-,-,-,malayalam
21217,tt0355533,Hijack,1995,-,-,-,-,malayalam
21220,tt5508486,Sahapadi 1975,2016,96 min,-,-,Thriller            ,malayalam
21221,-,Madhavi,,37 min,-,-,"Short, Drama            ",malayalam
21230,tt0355380,Dolly Darling,2002,-,-,-,-,malayalam
21236,tt0354148,Vadakkunokkiyantram,1989,120 min,8.3,"1,929","Comedy, Drama            ",malayalam
21251,tt3567368,Pakida,2014,139 min,5.2,107,Thriller            ,malayalam
21260,tt0269599,Nathi Muthal Nathi Vare,1983,-,-,-,-,malayalam
21262,tt10448882,Vishudha Pusthakam,2019,138 min,-,-,Drama            ,malayalam
21270,tt1719474,Aagathan,2010,120 min,5.5,289,"Drama, Romance            ",malayalam
21292,tt0281022,Ozhukkinethire,1976,-,-,-,-,malayalam
21295,tt0396664,Jalolsavam,2004,-,4.7,59,"Comedy, Drama, Romance            ",malayalam
21302,tt0279242,Mr. Sundhari,1974,-,-,-,-,malayalam
21306,tt0352480,Kaalathimnte Sabhdam,1987,-,-,-,-,malayalam
21308,tt0355978,Saamoohyapadom,1996,-,4.7,20,"Comedy, Drama            ",malayalam
21309,tt10306572,Pranayam,2015–2017,-,-,-,-,malayalam
21319,tt11935038,Kaamam,2020,-,-,-,Short            ,malayalam
21345,tt3768502,Kaanchi,2013,183 min,4.4,29,"Drama, Thriller            ",malayalam
21348,tt0269963,Thirakil Alppam Samayam,1984,134 min,-,-,"Drama, Romance            ",malayalam
21354,tt0319487,Harsha Bhashpam,1977,-,-,-,-,malayalam
21355,tt0324125,Suryachakram,2001,93 min,-,-,Drama            ,malayalam
21357,tt9757156,Deshveeran,2020,-,-,-,Action            ,malayalam
21362,tt9390240,Shakeela,2020,126 min,3.2,511,"Biography, Drama            ",malayalam
21363,tt0279337,Ponthen Aruvi,1974,137 min,-,-,-,malayalam
21388,tt0280913,Man of the Match,1996,-,6.6,5,-,malayalam
21397,tt0199669,Kaliyattam,1997,130 min,7.6,261,Drama            ,malayalam
21405,tt0082921,Pokkuveyil,1982,106 min,6.2,21,-,malayalam
21420,tt0240651,Karyam Nissaram,1983,140 min,6.9,38,"Comedy, Drama            ",malayalam
21422,tt10020960,Comedy Nights with Suraj,2019– ,43 min,-,-,"Comedy, Talk-Show            ",malayalam
21423,tt0235812,Theekkanal,1976,-,-,-,-,malayalam
21429,tt8537520,Bigg Boss,2018– ,-,3.9,482,"Game-Show, Reality-TV            ",malayalam
21430,tt0334346,Shila,1982,-,-,-,-,malayalam
21433,tt0275707,Super Action,1996,-,-,-,-,malayalam
21444,-,Snehakood,,122 min,-,-,Drama            ,malayalam
21446,tt1102314,Rashtram,2006,-,4.2,59,"Action, Crime            ",malayalam
21458,tt6363436,1971: Beyond Borders,2017,135 min,5.4,"2,800","Action, War            ",malayalam
21465,tt1309636,Maya Bazar,2008,150 min,2.3,220,"Drama, Romance            ",malayalam
21466,tt0352144,Agni Chirakulla Thumbi,1988,-,-,-,-,malayalam
21477,tt14434152,Nikkah,2015,110 min,-,-,Drama            ,malayalam
21478,tt0277241,Police Ariyaruthe,1973,-,-,-,-,malayalam
21497,tt2780170,Kili Poyi,2013,-,5.1,227,Comedy            ,malayalam
21508,tt10976066,Sufiyum Sujatayum,2020,122 min,5.5,"1,140","Drama, Musical, Romance            ",malayalam
21509,tt0255043,Chandranudikkunna Dikhil,1999,151 min,6.8,249,Romance            ,malayalam
21528,tt3463312,Ginger,I 2013,-,3.8,37,Comedy            ,malayalam
21531,tt0332421,Swandam Enna Padam,1980,143 min,-,-,-,malayalam
21535,tt6464654,Mattoru Katha,2016,-,-,-,"Short, Romance            ",malayalam
21564,tt0275581,Paara,1985,-,-,-,-,malayalam
21573,tt0352136,Aattakatha,1987,-,-,-,Musical            ,malayalam
21582,tt0356775,Kakkinakshathram,2002,-,-,-,-,malayalam
21589,tt0313870,Chakravarthini,1977,-,-,-,-,malayalam
21598,tt3111434,Ramadan E Kareem,2013,17 min,8.0,21,"Short, Music            ",malayalam
21606,tt12164792,Side Effect,II 2019,21 min,-,-,"Short, Drama, Thriller            ",malayalam
21610,tt1442391,Vellathooval,2009,-,4.0,8,Romance            ,malayalam
21640,tt5030116,Eli Eli Lama Sabachthani?,2017,-,6.7,18,Crime            ,malayalam
21644,tt10203428,Panthibhojanam,2010,20 min,-,-,"Short, Drama            ",malayalam
21648,tt12435054,Chinthavishtayaya Seetha,2016–2017,20 min,-,-,Drama            ,malayalam
21651,tt0333109,Avan Oru Ahangari,1980,-,-,-,-,malayalam
21659,tt0278795,Vasavadatta,1990,-,-,-,-,malayalam
21660,tt0393452,Manassinakkare,2003,152 min,7.4,808,"Comedy, Drama            ",malayalam
21664,tt7581572,Sudani from Nigeria,2018,123 min,8.2,"3,436","Comedy, Sport            ",malayalam
21673,tt0317053,Aaroodam,1983,-,-,-,-,malayalam
21687,tt0846756,Anna,2004– ,-,7.8,50,Family            ,malayalam
21700,tt0278314,Arhatha,1990,-,5.6,35,"Action, Drama, Thriller            ",malayalam
21703,tt0247907,Aa Divasom,1982,130 min,5.9,17,-,malayalam
21717,tt3686190,Medulla Oblongata,2014,111 min,6.2,10,Comedy            ,malayalam
21725,tt8599324,Police Junior,2018,143 min,-,-,"Action, Thriller            ",malayalam
21727,tt1311658,Malabar Wedding,2008,-,4.9,61,Comedy            ,malayalam
21737,tt2359191,Neelambari,2010,108 min,-,-,Drama            ,malayalam
21743,-,Krishnan unni,2021,-,-,-,"Short, Fantasy            ",malayalam
21752,tt0355876,Patanayakan,1996,131 min,4.2,10,"Action, Comedy            ",malayalam
21763,tt7372318,Shikkari Shambhu,2018,146 min,5.6,446,"Comedy, Mystery            ",malayalam
21765,-,Subhadinam,,-,-,-,Talk-Show            ,malayalam
21769,tt0215529,Asthram,1983,110 min,6.3,12,Drama            ,malayalam
21789,tt9536812,Avar Iruvarum,2018,-,-,-,Thriller            ,malayalam
21802,tt0269662,Onningu Vannengil,1985,126 min,7.8,5,-,malayalam
21806,tt0279126,Honeymoon,1974,-,-,-,-,malayalam
21810,tt0446266,Achuvinte Amma,2005,130 min,6.9,495,"Comedy, Drama, Family            ",malayalam
21815,tt0400076,4 the People,2004,-,6.2,323,"Action, Drama            ",malayalam
21823,tt0353932,Raid,1991,-,-,-,-,malayalam
21825,tt0357063,Puthooramputhri Unniyarcha,2002,115 min,4.1,19,-,malayalam
21837,tt0353922,Puthran,1994,-,6.6,5,-,malayalam
21839,tt0214704,Gandhinagar 2nd Street,1986,137 min,7.6,716,"Comedy, Family, Romance            ",malayalam
21841,tt14497990,Shweta Mohan: Mayakondu,2021 Video,4 min,-,-,"Short, Music            ",malayalam
21844,tt12346450,Daivakanam: The God Particle,2017,-,-,-,"Short, Mystery            ",malayalam
21846,tt11949842, Bigg Boss,2018– ,80 min,-,-,"Game-Show, Reality-TV            ",malayalam
21849,tt0334298,Saram,1982,-,-,-,-,malayalam
21851,tt13206792,The Color of Art,2021,-,-,-,"Short, Drama            ",malayalam
21859,tt0274599,Kaiyum Thalayum Purathidaruthu,1985,-,5.8,11,"Comedy, Drama            ",malayalam
21879,tt9466424,Oru Kaatil Oru Paykappal,2018,122 min,4.7,18,Romance            ,malayalam
21887,tt1399215,Raman,2008,80 min,-,-,Drama            ,malayalam
21889,tt4259440,The Soul,2014,11 min,-,-,"Short, Horror, Mystery            ",malayalam
21914,tt0291891,Ente Mohangal Poovaninju,1982,128 min,6.3,23,"Drama, Romance            ",malayalam
21946,tt1121975,Ullam,2005,-,6.5,11,Drama            ,malayalam
21951,tt0319841,Megasandesam,2001,170 min,4.5,122,"Drama, Horror, Romance            ",malayalam
21955,tt0334482,Thenkasipattanam,2000,150 min,7.5,868,"Comedy, Romance            ",malayalam
21972,tt10908630,Ivide Ee Nagarathil,2019,122 min,-,-,Drama            ,malayalam
21978,tt0355203,Anubhoothi,1997,-,5.0,27,-,malayalam
21983,tt0271603,Kshamichu Ennoru Vakku,1986,112 min,6.1,19,Drama            ,malayalam
21985,tt10055774,Mere Pyare Deshvasiyom,2019,110 min,4.6,12,Comedy            ,malayalam
21987,tt9199374,Uriyadi,2020,136 min,4.9,119,"Comedy, Mystery            ",malayalam
21989,tt0102179,Kadavu,1991,104 min,7.7,23,Drama            ,malayalam
22008,tt0353830,Omana Swapnangal,1991,-,-,-,-,malayalam
22034,tt0155859,Marmaram,1983,113 min,6.8,13,"Drama, Romance            ",malayalam
22039,-,Naale,,-,-,-,Drama            ,malayalam
22057,tt12677132,Like A Midnight Dream,2019,37 min,7.1,8,"Short, Drama            ",malayalam
22065,tt0378826,Swapnakoodu,2003,160 min,6.3,568,"Comedy, Drama            ",malayalam
22069,tt0155943,Parankimala,1981,-,6.3,14,Drama            ,malayalam
22096,tt0256382,Sheelavathi,1967,-,-,-,-,malayalam
22098,tt9911306,Kalikkoottukar,2019,145 min,3.5,20,"Drama, Romance            ",malayalam
22108,tt11390702,Kaanayile Madhyapanikal,2019,-,7.8,6,"Short, Comedy            ",malayalam
22112,tt13188060,Cherupp,2020,-,-,-,"Short, Comedy            ",malayalam
22114,tt0334452,Swayamvarapandhal,2000,148 min,4.4,52,Drama            ,malayalam
22129,tt12802846,Konnappookkalum Mampazhavum,2020,-,9.2,5,Drama            ,malayalam
22130,tt1553095,Nairantharyam,2006,-,-,-,"Short, History            ",malayalam
22135,tt7527820,21 Months of Hell,2017,78 min,8.8,8,Documentary            ,malayalam
22141,tt0257898,Manthrakodi,1972,-,-,-,-,malayalam
22145,tt10692590,Puzhikkadakan,2019,123 min,5.7,40,"Comedy, Drama            ",malayalam
22158,tt13760924,The Change - Let's make it happen,2020,10 min,-,-,"Documentary, Short            ",malayalam
22176,tt12740770,Bhakti,2017,-,-,-,"Short, Drama            ",malayalam
22190,tt7548378,Kaly,2018,163 min,5.3,107,Drama            ,malayalam
22192,-,Vaashi,,-,-,-,Drama            ,malayalam
22200,tt0257257,Vila Kuranja Manushyan,1969,-,-,-,-,malayalam
22205,tt0254464,Kadamattathachan,1966,-,5.6,7,-,malayalam
22224,tt0292115,Mizhiyorangalil,1987,-,7.0,13,-,malayalam
22231,tt9271408,Uyare,2019,125 min,8.0,"2,713",Drama            ,malayalam
22240,tt6942112,Chalachithra Niravu,2013 TV Movie,-,-,-,Musical            ,malayalam
22242,tt12446626,Utharam,2019,18 min,-,-,"Short, Thriller            ",malayalam
22249,tt2470126,Snake & Ladder,2012,-,-,-,"Drama, Thriller            ",malayalam
22250,tt0282021,Neela Sari,1976,-,-,-,-,malayalam
22253,tt7702336,Chanakyatanthram,2018,130 min,5.4,398,"Crime, Mystery, Thriller            ",malayalam
22254,tt0378118,Ivar,2003,-,4.7,60,"Crime, Drama, Thriller            ",malayalam
22259,tt8027704,Who Am I?,2018 Video,17 min,-,-,"Documentary, Short, Family            ",malayalam
22262,tt0255792,Anaachadanam,1969,-,-,-,-,malayalam
22268,tt8736744,Mirage The Last Men,2018,-,-,-,"Short, Drama            ",malayalam
22287,tt13176922,Sarvvekallu,2020,-,-,-,"Short, Comedy            ",malayalam
22308,-,Feminine Quiz Sense,,-,-,-,-,malayalam
22312,tt0319867,Mis Chalu,2001,-,6.0,5,-,malayalam
22315,tt0334349,Shishirathil Oru Vasantham,1980,-,-,-,-,malayalam
22319,tt13201880,Redalf Nepotic Anthem,2020,-,-,-,"Short, Musical            ",malayalam
22324,tt0273053,Aakhosham,1998,132 min,-,-,-,malayalam
22336,tt0249059,Nombarathi Poovu,1987,140 min,7.7,67,Drama            ,malayalam
22348,tt5184688,Akam Porul,2012,-,-,-,"Documentary, Short, Drama            ",malayalam
22358,tt0274485,Ente Ponnumol,1985,-,-,-,-,malayalam
22368,tt0997185,Time,2007,125 min,4.2,134,"Action, Crime, Thriller            ",malayalam
22380,tt8592934,Synagogueinte Naatil,2011,20 min,-,-,"Documentary, Short            ",malayalam
22383,tt7195382,Vinayapoorvam Vidyadharan,2000,127 min,4.1,7,Drama            ,malayalam
22387,tt2355765,Ordinary,2012,150 min,6.6,772,"Comedy, Drama, Musical            ",malayalam
22392,tt0271385,Aval Kathirunnu Avanum,1986,-,6.9,9,Drama            ,malayalam
22394,tt0253617,Sabarimalai Shri Ayyappan,1962,-,-,-,-,malayalam
22413,tt2265539,Second Show,2012,126 min,7.1,"1,622","Action, Crime            ",malayalam
22414,tt0215562,Bhookambam,1983,-,6.5,14,"Action, Crime, Thriller            ",malayalam
22426,tt5986164,Achuvindem Kichuvindem Ponnonam,2013– ,-,-,-,"Animation, Family            ",malayalam
22441,-,Kuruthi,2021,-,-,-,Thriller            ,malayalam
22446,tt5899850,Out of Syllabus,2006,-,6.1,10,Romance            ,malayalam
22448,tt0244240,Surya Daham,1979,-,-,-,-,malayalam
22456,tt0353605,Kalpana House,1989,105 min,5.8,5,"Drama, Horror, Mystery            ",malayalam
22462,tt0272342,Velluvily,1978,-,-,-,-,malayalam
22466,tt0254742,Rowdy,1966,-,-,-,-,malayalam
22468,tt0243992,Isabella,1988,-,5.9,12,Drama            ,malayalam
22469,tt2211141,Violin,2011,138 min,4.4,67,"Drama, Romance            ",malayalam
22481,-,Vaathil,,-,-,-,Drama            ,malayalam
22491,tt1650547,T.D. Dasan Std: VI. B,2010,98 min,7.3,231,"Drama, Family            ",malayalam
22499,tt0461187,Daivanamathil,2005,-,6.2,52,Drama            ,malayalam
22503,-,Visvasichalum Illenkilum,,22 min,-,-,Drama            ,malayalam
22506,tt0352703,Parrissile Ardha Raathrikal,1988,-,-,-,-,malayalam
22512,tt0351799,Swama Gopuram,1984,-,-,-,Drama            ,malayalam
22518,tt0235745,Saathi,1972,-,-,-,-,malayalam
22536,tt8333422,Seeking the Reality of Yoga,2017,47 min,-,-,Documentary            ,malayalam
22540,tt13534980,Kanthan - The Lover of Colour,2018,-,-,-,Drama            ,malayalam
22557,tt0355633,Kalyana Unnikal,1997,-,4.7,10,"Action, Comedy            ",malayalam
22561,tt4670926,Namaste Bali,2015,120 min,2.2,44,Drama            ,malayalam
22563,tt0272103,Gandharava Kshetram,1972,-,7.6,14,-,malayalam
22564,tt5870074,Asianet Digital Cable Commercial,2016 TV Movie,-,-,-,Family            ,malayalam
22566,tt0286887,Pattiyude Divasam,2001,74 min,6.5,31,"Comedy, Drama            ",malayalam
22571,tt0271602,Kottum Kuravayum,1987,-,-,-,-,malayalam
22575,tt0352131,Aa Bheekara Raathri,1986,-,-,-,Musical            ,malayalam
22578,tt11912390,2 States,2020,131 min,6.6,384,"Comedy, Romance            ",malayalam
22598,tt1680314,Pennpattanam,2010,121 min,4.0,34,Drama            ,malayalam
22618,tt2795414,Ladies and Gentleman,2013,156 min,3.6,298,Comedy            ,malayalam
22622,tt5297256,Pulimurugan,2016,161 min,6.8,"7,023",Action            ,malayalam
22629,tt0345590,Lourde Mathavu,1983,117 min,-,-,-,malayalam
22638,tt1626644,Nayakan,2010,-,6.5,271,Action            ,malayalam
22642,tt0332710,Moorkhan,1980,-,5.4,11,"Action, Thriller            ",malayalam
22650,tt0275629,Revenge,1985,120 min,-,-,-,malayalam
22657,tt0278393,Chuvappu Naada,1990,-,-,-,Drama            ,malayalam
22669,tt4905732,Rudra Simhasanam,2015,177 min,3.3,52,"Action, Thriller            ",malayalam
22673,tt0334137,Ponmudy,1982,-,-,-,"Drama, Mystery, Romance            ",malayalam
22685,tt0353236,Bhoomi Geetham,1993,-,-,-,-,malayalam
22707,tt0273781,Manjukalam Kazhinju,1998,124 min,-,-,-,malayalam
22709,tt5601546,Punchirikku Parasparam,2015,2 min,7.9,15,"Short, Drama, Musical            ",malayalam
22729,tt7036126,Dance Dance,2017,-,2.6,26,Drama            ,malayalam
22739,tt1568887,Thavalam,2008,107 min,6.1,9,Drama            ,malayalam
22744,tt0352156,Aalilakkuruvikal,1988,-,-,-,-,malayalam
22769,tt0258280,Vazhve Mayam,1970,153 min,6.8,10,-,malayalam
22771,tt0253270,Naadodikal,1959,-,6.2,11,-,malayalam
22817,tt13546134,Thinkal Kalamaan,2020– ,22 min,-,-,Drama            ,malayalam
22854,tt0355214,Arjunan Pillayum Anchu Makkalum,1997,-,5.4,66,Comedy            ,malayalam
22866,tt7292380,Thank You Very Much,2017,122 min,-,-,Drama            ,malayalam
22870,tt12990820,Kappa & Croissants,2019– ,-,-,-,Comedy            ,malayalam
22911,tt0357137,Savithriyute Aranjanam,2002,-,3.7,25,Drama            ,malayalam
22921,tt0282202,Thuruppu Gulam,1977,-,-,-,-,malayalam
22927,tt0214799,Irakal,1986,142 min,7.8,151,Drama            ,malayalam
22936,tt5458364,Oru Murai Vanthu Paarthaya,2016,151 min,5.3,211,"Comedy, Horror, Romance            ",malayalam
22938,tt0353893,Ponnu Chami,1993,-,3.9,17,Romance            ,malayalam
22939,tt0255368,Mercara,1999,-,-,-,-,malayalam
22945,tt0253517,Puthradharmam,1954,-,-,-,-,malayalam
22948,tt0402499,Sisirayamam,2003,-,-,-,-,malayalam
22952,tt2714882,Black Butterfly,2013,-,6.8,38,Crime            ,malayalam
22964,tt7336242,Anugraheethan Antony,2021,120 min,8.1,318,"Drama, Romance            ",malayalam
22968,tt0353725,Meesha Madhavan,2002,165 min,7.9,"1,376","Comedy, Drama            ",malayalam
22971,tt6680742,Aana Alaralodalaral,2017,120 min,3.8,139,Comedy            ,malayalam
22980,tt0333700,Kaduva Thomas,1997,-,-,-,-,malayalam
22991,tt12319510,Kana Kanmani,2016,-,-,-,Drama            ,malayalam
22997,tt0254818,Thommantae Makkal,1965,-,-,-,Drama            ,malayalam
23001,tt4552640,This Is Not Cricket,2020,-,-,-,Documentary            ,malayalam
23004,tt0277774,Kakkakuyil,2001,140 min,6.3,543,"Comedy, Romance            ",malayalam
23019,tt0333144,Benz Vasu,1980,-,-,-,-,malayalam
23023,tt0274033,Rangam,1985,-,7.3,42,-,malayalam
23027,tt0253310,Newspaper Boy,1955,120 min,7.0,27,-,malayalam
23031,tt0070449,Nirmalyam,1973,134 min,7.6,101,Drama            ,malayalam
23052,tt0244287,Vida Parayum Mumbe,1981,-,6.0,6,-,malayalam
23053,tt13471304,Mallanum Madhevanum,2020,10 min,-,-,"Short, Thriller            ",malayalam
23058,tt1451399,Mizhikal Sakshi,2008,111 min,6.6,53,Drama            ,malayalam
23064,tt0382842,Meerayude Dukhavum Muthuvinte Swapnavum,2003,133 min,3.6,179,"Drama, Musical            ",malayalam
23076,-,Veettachan,,122 min,-,-,Drama            ,malayalam
23079,tt10543948,Kozhikal Illaatha Bhoomi,2017,-,-,-,"Short, Drama            ",malayalam
23090,tt0156089,Sneham,1977,-,6.8,10,Romance            ,malayalam
23095,tt0353779,Nakshthrakoodaram,1992,-,4.7,19,"Comedy, Drama            ",malayalam
23119,tt0275535,Mulamoottil Adima,1985,129 min,6.8,20,-,malayalam
23126,tt1757671,Anwar,2010,128 min,6.4,639,"Action, Drama, Thriller            ",malayalam
23127,tt0352968,Varshangal Poyathariyathe,1987,-,-,-,-,malayalam
23131,tt5833824,Dum,2016,132 min,4.1,15,Action            ,malayalam
23132,tt0237009,August 1,1988,-,7.1,327,"Action, Thriller            ",malayalam
23158,tt0237178,Doore Doore Oru Koodu Kootam,1988,-,7.1,77,Drama            ,malayalam
23189,tt2229208,Bachelor Party,2012,119 min,5.1,420,"Action, Crime, Thriller            ",malayalam
23193,tt0272347,Vishwa Roopam,1978,-,-,-,-,malayalam
23203,tt3918600,Manglish,2014,143 min,4.3,467,Comedy            ,malayalam
23223,tt12878604,The Toaster,2020,7 min,-,-,"Short, Mystery            ",malayalam
23226,tt9885436,Manjil Virinja Poovu,2019– ,23 min,-,-,Drama            ,malayalam
23232,tt0320162,Nimishagal,2001,-,-,-,-,malayalam
23236,tt11951056, Bigg Boss,2018– ,91 min,-,-,"Game-Show, Reality-TV            ",malayalam
23248,tt8586256,Pettilambattra,2018,122 min,4.3,23,Comedy            ,malayalam
23263,tt0155602,Chamayam,1993,-,7.1,71,"Drama, Romance            ",malayalam
23264,-,Haagar,2021,-,-,-,Drama            ,malayalam
23266,tt0276151,Gajaraja Manthram,1997,-,4.9,27,"Comedy, Drama            ",malayalam
23270,tt6940692,Udaharanam Sujatha,2017,127 min,7.3,493,"Drama, Family            ",malayalam
23272,tt0325633,Ival Oru Naadody,1979,-,-,-,-,malayalam
23273,tt0268187,Black Belt,1978,-,-,-,-,malayalam
23274,tt13553664,Hevenly Night,2006 TV Special,60 min,-,-,Musical            ,malayalam
23286,tt2486260,Mahanadhi,2013,-,-,-,"Drama, Family, History            ",malayalam
23293,tt0357834,Kattuchembakam,2002,129 min,2.9,46,Romance            ,malayalam
23299,-,Oru Bhayankara Kamukan,,-,-,-,"Comedy, Romance            ",malayalam
23305,tt8791998,Prabhuvinte Makkal,2012,-,7.4,9,Drama            ,malayalam
23315,tt11250720,One,II 2021,151 min,6.9,932,"Drama, Thriller            ",malayalam
23316,tt11166338,Tigerman,2020,-,-,-,Short            ,malayalam
23325,tt0272194,Miss Mary,1972,-,-,-,-,malayalam
23333,tt9135800,Brother's Day,2019,165 min,4.5,716,"Action, Comedy, Romance            ",malayalam
23355,tt8308034,Swapnarajyam,2019,125 min,7.5,8,"Comedy, Drama, Romance            ",malayalam
23358,tt0275195,Aniyan Bava Chetan Bava,1995,130 min,6.8,348,"Comedy, Drama            ",malayalam
23364,tt0334600,Vazhi Mariya Paravakal,1980,-,-,-,-,malayalam
23366,tt0414658,Vrudhanmare Sookshikkuka,1995,117 min,4.9,130,"Action, Comedy, Thriller            ",malayalam
23377,tt0271652,Mukthi,1988,142 min,7.0,27,Drama            ,malayalam
23386,tt7381490,Suvarna Purushan,2018,106 min,5.0,24,Comedy            ,malayalam
23390,tt0268447,Mattoru Karnan,1978,-,-,-,"Action, Drama, History            ",malayalam
23392,tt9911774,Padmavyuhathile Abhimanyu,2019,130 min,7.9,267,Drama            ,malayalam
23398,tt13602492,Chithram,2021,-,-,-,"Short, Musical            ",malayalam
23408,tt0254473,Kandam Bacha Kotte,1961,156 min,-,-,-,malayalam
23419,tt0288207,Samasya,1976,-,-,-,-,malayalam
23442,tt0353626,Kingini,1992,-,6.4,5,Drama            ,malayalam
23457,tt14190132,Cherkkutty Pranayam,2021,-,-,-,"Short, Musical            ",malayalam
23470,tt0347359,Koodu Thedunna Parava,1984,-,-,-,-,malayalam
23472,tt2175028,Nilaavu,2010,90 min,-,-,Romance            ,malayalam
23479,tt9399712,An International Local Story,2019,123 min,7.3,714,"Comedy, Family            ",malayalam
23484,tt7582978,Savaari,2018,104 min,7.9,11,Drama            ,malayalam
